label,champion_name,ranking_tier,ranking_code,ranking_faction_code,ranking_faction_name,ranking_rarity_code,ranking_rarity_name,ranking_role_code,ranking_role_name,ranking_affinity_code,ranking_affinity_name,ranking_order,ranking_index_url,source_url,source_image_url,raw_page_path,raw_image_path,processed_image_path,debug_image_path,crop_box,image_width,image_height
aeila_lifebraid,Aeila Lifebraid,B,SY-ESV,SY,Sylvan Watchers,E,Epic,S,Support,V,Void,490,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aeila-lifebraid-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aeila_Lifebraid.jpg,data/raw/pages/raid_shadow_legends_aeila_lifebraid_skill_mastery_equip_guide.html,data/raw/images/aeila_lifebraid_de24139d9a.jpg,data/processed/icons/aeila_lifebraid.png,data/processed/debug/aeila_lifebraid_crop_debug.jpg,"14,378,197,532",48,64
aeshma,Aeshma,B,KR-EAM,KR,Knights Revenant,E,Epic,A,Attack,M,Magic,491,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aeshma-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aeshma.jpg,data/raw/pages/raid_shadow_legends_aeshma_skill_mastery_equip_guide.html,data/raw/images/aeshma_d40f9442cf.jpg,data/processed/icons/aeshma.png,data/processed/debug/aeshma_crop_debug.jpg,"14,378,197,532",48,64
ailil,Ailil,A,SY-LAV,SY,Sylvan Watchers,L,Legendary,A,Attack,V,Void,117,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-ailil-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Ailil.jpg,data/raw/pages/raid_shadow_legends_ailil_skill_mastery_equip_guide.html,data/raw/images/ailil_9129773d32.jpg,data/processed/icons/ailil.png,data/processed/debug/ailil_crop_debug.jpg,"14,378,197,532",48,64
aina,Aina,C,BA-EAM,BA,Barbarians,E,Epic,A,Attack,M,Magic,638,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aina-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aina.jpg,data/raw/pages/raid_shadow_legends_aina_skill_mastery_equip_guide.html,data/raw/images/aina_2bc241baa8.jpg,data/processed/icons/aina.png,data/processed/debug/aina_crop_debug.jpg,"14,378,197,532",48,64
akemtum,Akemtum,S,SW-EAV,SW,Skinwalkers,E,Epic,A,Attack,V,Void,410,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-akemtum-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Akemtum.jpg,data/raw/pages/raid_shadow_legends_akemtum_skill_mastery_equip_guide.html,data/raw/images/akemtum_8acc12be99.jpg,data/processed/icons/akemtum.png,data/processed/debug/akemtum_crop_debug.jpg,"14,378,197,532",48,64
akoth_the_seared,Akoth the Seared,B,DS-EDM,DS,Demonspawn,E,Epic,D,Defense,M,Magic,492,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-akoth-the-seared-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Akoth_the_Seared.jpg,data/raw/pages/raid_shadow_legends_akoth_the_seared_skill_mastery_equip_guide.html,data/raw/images/akoth_the_seared_3212c866e2.jpg,data/processed/icons/akoth_the_seared.png,data/processed/debug/akoth_the_seared_crop_debug.jpg,"14,378,197,532",48,64
alaric_the_hooded,Alaric the Hooded,C,BL-EAF,BL,Banner Lords,E,Epic,A,Attack,F,Force,639,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alaric-the-hooded-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alaric_the_Hooded.jpg,data/raw/pages/raid_shadow_legends_alaric_the_hooded_skill_mastery_equip_guide.html,data/raw/images/alaric_the_hooded_5c2f501760.jpg,data/processed/icons/alaric_the_hooded.png,data/processed/debug/alaric_the_hooded_crop_debug.jpg,"14,378,197,532",48,64
alatreon_blademaster,Alatreon Blademaster,S,KR-LSS,KR,Knights Revenant,L,Legendary,S,Support,S,Spirit,42,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alatreon-blademaster-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alatreon_Blademaster.jpg,data/raw/pages/raid_shadow_legends_alatreon_blademaster_skill_mastery_equip_guide.html,data/raw/images/alatreon_blademaster_31b700f42d.jpg,data/processed/icons/alatreon_blademaster.png,data/processed/debug/alatreon_blademaster_crop_debug.jpg,"14,378,197,532",48,64
alaz_the_sunbearer,Alaz the Sunbearer,A,BA-MDF,BA,Barbarians,M,Mythical,D,Defense,F,Force,19,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alaz-the-sunbearer-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alaz_the_Sunbearer.jpg,data/raw/pages/raid_shadow_legends_alaz_the_sunbearer_skill_mastery_equip_guide.html,data/raw/images/alaz_the_sunbearer_02cee4b695.jpg,data/processed/icons/alaz_the_sunbearer.png,data/processed/debug/alaz_the_sunbearer_crop_debug.jpg,"14,378,197,532",48,64
aleksandr_the_sharpshooter,Aleksandr the Sharpshooter,B,HE-LAM,HE,High Elves,L,Legendary,A,Attack,M,Magic,296,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aleksandr-the-sharpshooter-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aleksandr_the_Sharpshooter.jpg,data/raw/pages/raid_shadow_legends_aleksandr_the_sharpshooter_skill_mastery_equip_guide.html,data/raw/images/aleksandr_the_sharpshooter_19dc5343f4.jpg,data/processed/icons/aleksandr_the_sharpshooter.png,data/processed/debug/aleksandr_the_sharpshooter_crop_debug.jpg,"14,378,197,532",48,64
alice_the_wanderer,Alice the Wanderer,A,SO-LAM,SO,The Sacred Order,L,Legendary,A,Attack,M,Magic,118,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alice-the-wanderer-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alice_the_Wanderer.jpg,data/raw/pages/raid_shadow_legends_alice_the_wanderer_skill_mastery_equip_guide.html,data/raw/images/alice_the_wanderer_8904cd12ef.jpg,data/processed/icons/alice_the_wanderer.png,data/processed/debug/alice_the_wanderer_crop_debug.jpg,"14,378,197,532",48,64
alika,Alika,C,BA-EAF,BA,Barbarians,E,Epic,A,Attack,F,Force,640,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alika-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alika.jpg,data/raw/pages/raid_shadow_legends_alika_skill_mastery_equip_guide.html,data/raw/images/alika_1a05421dc2.jpg,data/processed/icons/alika.png,data/processed/debug/alika_crop_debug.jpg,"14,378,197,532",48,64
alsgor_crimsonhorn,Alsgor Crimsonhorn,B,BA-LHF,BA,Barbarians,L,Legendary,H,HP,F,Force,297,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alsgor-crimsonhorn-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alsgor_Crimsonhorn.jpg,data/raw/pages/raid_shadow_legends_alsgor_crimsonhorn_skill_mastery_equip_guide.html,data/raw/images/alsgor_crimsonhorn_2fad61e76d.jpg,data/processed/icons/alsgor_crimsonhorn.png,data/processed/debug/alsgor_crimsonhorn_crop_debug.jpg,"14,378,197,532",48,64
altan,Altan,B,BA-LDM,BA,Barbarians,L,Legendary,D,Defense,M,Magic,298,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-altan-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Altan.jpg,data/raw/pages/raid_shadow_legends_altan_skill_mastery_equip_guide.html,data/raw/images/altan_3989b155f4.jpg,data/processed/icons/altan.png,data/processed/debug/altan_crop_debug.jpg,"14,378,197,532",48,64
alure,Alure,S,DS-EAM,DS,Demonspawn,E,Epic,A,Attack,M,Magic,411,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-alure-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Alure.jpg,data/raw/pages/raid_shadow_legends_alure_skill_mastery_equip_guide.html,data/raw/images/alure_9cb77e0359.jpg,data/processed/icons/alure.png,data/processed/debug/alure_crop_debug.jpg,"14,378,197,532",48,64
amarantine_skeleton,Amarantine Skeleton,C,UH-RDV,UH,Undead Hordes,R,Rare,D,Defense,V,Void,779,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-amarantine-skeleton-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Amarantine_Skeleton.jpg,data/raw/pages/raid_shadow_legends_amarantine_skeleton_skill_mastery_equip_guide.html,data/raw/images/amarantine_skeleton_e1555ad079.jpg,data/processed/icons/amarantine_skeleton.png,data/processed/debug/amarantine_skeleton_crop_debug.jpg,"14,378,197,532",48,64
ambassador_lethelin,Ambassador Lethelin,B,HE-ESF,HE,High Elves,E,Epic,S,Support,F,Force,493,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-ambassador-lethelin-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Ambassador_Lethelin.jpg,data/raw/pages/raid_shadow_legends_ambassador_lethelin_skill_mastery_equip_guide.html,data/raw/images/ambassador_lethelin_2e9d09d554.jpg,data/processed/icons/ambassador_lethelin.png,data/processed/debug/ambassador_lethelin_crop_debug.jpg,"14,378,197,532",48,64
amoch_the_first_satrap,Amoch the First Satrap,A,LZ-LSM,LZ,Lizardmen,L,Legendary,S,Support,M,Magic,119,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-amoch-the-first-satrap-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Amoch_the_First_Satrap.jpg,data/raw/pages/raid_shadow_legends_amoch_the_first_satrap_skill_mastery_equip_guide.html,data/raw/images/amoch_the_first_satrap_3fbca40254.jpg,data/processed/icons/amoch_the_first_satrap.png,data/processed/debug/amoch_the_first_satrap_crop_debug.jpg,"14,378,197,532",48,64
anax,Anax,B,UH-EAS,UH,Undead Hordes,E,Epic,A,Attack,S,Spirit,494,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-anax-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Anax.jpg,data/raw/pages/raid_shadow_legends_anax_skill_mastery_equip_guide.html,data/raw/images/anax_ddefba194e.jpg,data/processed/icons/anax.png,data/processed/debug/anax_crop_debug.jpg,"14,378,197,532",48,64
anaxia_the_reborn,Anaxia the Reborn,A,LZ-MDS,LZ,Lizardmen,M,Mythical,D,Defense,S,Spirit,20,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-anaxia-the-reborn-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Anaxia_the_Reborn.jpg,data/raw/pages/raid_shadow_legends_anaxia_the_reborn_skill_mastery_equip_guide.html,data/raw/images/anaxia_the_reborn_d4d7055120.jpg,data/processed/icons/anaxia_the_reborn.png,data/processed/debug/anaxia_the_reborn_crop_debug.jpg,"14,378,197,532",48,64
anchorite,Anchorite,A,SO-ESS,SO,The Sacred Order,E,Epic,S,Support,S,Spirit,434,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-anchorite-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Anchorite.jpg,data/raw/pages/raid_shadow_legends_anchorite_skill_mastery_equip_guide.html,data/raw/images/anchorite_9f0e0437ef.jpg,data/processed/icons/anchorite.png,data/processed/debug/anchorite_crop_debug.jpg,"14,378,197,532",48,64
androc_the_glorious,Androc the Glorious,B,BL-MDS,BL,Banner Lords,M,Mythical,D,Defense,S,Spirit,26,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-androc-the-glorious-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Androc_the_Glorious.jpg,data/raw/pages/raid_shadow_legends_androc_the_glorious_skill_mastery_equip_guide.html,data/raw/images/androc_the_glorious_12a1f3fc9f.jpg,data/processed/icons/androc_the_glorious.png,data/processed/debug/androc_the_glorious_crop_debug.jpg,"14,378,197,532",48,64
andryssia,Andryssia,B,HE-EDV,HE,High Elves,E,Epic,D,Defense,V,Void,495,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-andryssia-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Andryssia.jpg,data/raw/pages/raid_shadow_legends_andryssia_skill_mastery_equip_guide.html,data/raw/images/andryssia_d4ec35d050.jpg,data/processed/icons/andryssia.png,data/processed/debug/andryssia_crop_debug.jpg,"14,378,197,532",48,64
angar,Angar,A,OR-LHV,OR,Orcs,L,Legendary,H,HP,V,Void,120,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-angar-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Angar.jpg,data/raw/pages/raid_shadow_legends_angar_skill_mastery_equip_guide.html,data/raw/images/angar_a639db97a0.jpg,data/processed/icons/angar.png,data/processed/debug/angar_crop_debug.jpg,"14,378,197,532",48,64
anointed,Anointed,C,BA-RSF,BA,Barbarians,R,Rare,S,Support,F,Force,780,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-anointed-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Anointed.jpg,data/raw/pages/raid_shadow_legends_anointed_skill_mastery_equip_guide.html,data/raw/images/anointed_3d23dc67ce.jpg,data/processed/icons/anointed.png,data/processed/debug/anointed_crop_debug.jpg,"14,378,197,532",48,64
aothar,Aothar,B,SO-EAF,SO,The Sacred Order,E,Epic,A,Attack,F,Force,496,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aothar-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aothar.jpg,data/raw/pages/raid_shadow_legends_aothar_skill_mastery_equip_guide.html,data/raw/images/aothar_f5800a9523.jpg,data/processed/icons/aothar.png,data/processed/debug/aothar_crop_debug.jpg,"14,378,197,532",48,64
aox_the_rememberer,Aox the Rememberer,A,LZ-ESF,LZ,Lizardmen,E,Epic,S,Support,F,Force,435,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aox-the-rememberer-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aox_the_Rememberer.jpg,data/raw/pages/raid_shadow_legends_aox_the_rememberer_skill_mastery_equip_guide.html,data/raw/images/aox_the_rememberer_b3c26e198a.jpg,data/processed/icons/aox_the_rememberer.png,data/processed/debug/aox_the_rememberer_crop_debug.jpg,"14,378,197,532",48,64
aphidus_the_hivelord,Aphidus the Hivelord,B,DE-MAM,DE,Dark Elves,M,Mythical,A,Attack,M,Magic,27,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aphidus-the-hivelord-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aphidus_the_Hivelord.jpg,data/raw/pages/raid_shadow_legends_aphidus_the_hivelord_skill_mastery_equip_guide.html,data/raw/images/aphidus_the_hivelord_0e8fe2a322.jpg,data/processed/icons/aphidus_the_hivelord.png,data/processed/debug/aphidus_the_hivelord_crop_debug.jpg,"14,378,197,532",48,64
apothecary,Apothecary,S,HE-RSM,HE,High Elves,R,Rare,S,Support,M,Magic,702,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-apothecary-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Apothecary.jpg,data/raw/pages/raid_shadow_legends_apothecary_skill_mastery_equip_guide.html,data/raw/images/apothecary_25a9842050.jpg,data/processed/icons/apothecary.png,data/processed/debug/apothecary_crop_debug.jpg,"14,378,197,532",48,64
april_oneil,April ONeil,C,SO-LSM,SO,The Sacred Order,L,Legendary,S,Support,M,Magic,400,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-april-oneil-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/April_ONeil.jpg,data/raw/pages/raid_shadow_legends_april_oneil_skill_mastery_equip_guide.html,data/raw/images/april_oneil_05ceb5bd0c.jpg,data/processed/icons/april_oneil.png,data/processed/debug/april_oneil_crop_debug.jpg,"14,378,197,532",48,64
arachoa_moonspinner,Arachoa Moonspinner,A,DE-MSF,DE,Dark Elves,M,Mythical,S,Support,F,Force,21,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-arachoa-moonspinner-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Arachoa_Moonspinner.jpg,data/raw/pages/raid_shadow_legends_arachoa_moonspinner_skill_mastery_equip_guide.html,data/raw/images/arachoa_moonspinner_983166fe95.jpg,data/processed/icons/arachoa_moonspinner.png,data/processed/debug/arachoa_moonspinner_crop_debug.jpg,"14,378,197,532",48,64
aragaz_wyldking,Aragaz Wyldking,A,OR-LHF,OR,Orcs,L,Legendary,H,HP,F,Force,121,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aragaz-wyldking-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aragaz_Wyldking.jpg,data/raw/pages/raid_shadow_legends_aragaz_wyldking_skill_mastery_equip_guide.html,data/raw/images/aragaz_wyldking_af9eb1404b.jpg,data/processed/icons/aragaz_wyldking.png,data/processed/debug/aragaz_wyldking_crop_debug.jpg,"14,378,197,532",48,64
arashi_the_riptide,Arashi the Riptide,B,SK-LHS,SK,Shadowkin,L,Legendary,H,HP,S,Spirit,299,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-arashi-the-riptide-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Arashi_the_Riptide.jpg,data/raw/pages/raid_shadow_legends_arashi_the_riptide_skill_mastery_equip_guide.html,data/raw/images/arashi_the_riptide_870d9d099a.jpg,data/processed/icons/arashi_the_riptide.png,data/processed/debug/arashi_the_riptide_crop_debug.jpg,"14,378,197,532",48,64
aratheia_corpseflower,Aratheia Corpseflower,B,SY-LAV,SY,Sylvan Watchers,L,Legendary,A,Attack,V,Void,300,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-aratheia-corpseflower-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Aratheia_Corpseflower.jpg,data/raw/pages/raid_shadow_legends_aratheia_corpseflower_skill_mastery_equip_guide.html,data/raw/images/aratheia_corpseflower_7b4a47e8d5.jpg,data/processed/icons/aratheia_corpseflower.png,data/processed/debug/aratheia_corpseflower_crop_debug.jpg,"14,378,197,532",48,64
arbais_the_stonethorn,Arbais the Stonethorn,S,SY-MSF,SY,Sylvan Watchers,M,Mythical,S,Support,F,Force,7,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-arbais-the-stonethorn-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Arbais_the_Stonethorn.jpg,data/raw/pages/raid_shadow_legends_arbais_the_stonethorn_skill_mastery_equip_guide.html,data/raw/images/arbais_the_stonethorn_51a875639a.jpg,data/processed/icons/arbais_the_stonethorn.png,data/processed/debug/arbais_the_stonethorn_crop_debug.jpg,"14,378,197,532",48,64
arbalester,Arbalester,F,UH-RAV,UH,Undead Hordes,R,Rare,A,Attack,V,Void,875,https://ayumilove.net/raid-shadow-legends-list-of-champions-by-ranking/,https://ayumilove.net/raid-shadow-legends-arbalester-skill-mastery-equip-guide/,https://ayumilove.net/files/games/raid_shadow_legends/champion/Arbalester.jpg,data/raw/pages/raid_shadow_legends_arbalester_skill_mastery_equip_guide.html,data/raw/images/arbalester_bce30f7826.jpg,data/processed/icons/arbalester.png,data/processed/debug/arbalester_crop_debug.jpg,"14,378,197,532",48,64
