slot,grid_y,grid_x,corr
slot_2,6,5,-0.08477755870603672
slot_1,7,11,-0.08464687062087403
slot_2,7,12,-0.08422823276286073
slot_1,6,6,-0.08382412949555969
slot_3,11,3,-0.08345309107954263
slot_2,11,11,-0.08338718439620617
slot_2,9,8,-0.08309759605384232
slot_3,11,5,-0.08305676043974863
slot_1,5,10,-0.08296984273407805
slot_2,3,9,-0.08278641458539214
slot_2,10,1,0.08248552126748289
slot_1,8,2,0.08239368887531943
slot_2,6,12,-0.08228421775062046
slot_1,8,1,-0.08212163056587136
slot_3,10,7,-0.08200530905157831
slot_1,1,1,0.08192574681062054
slot_1,6,12,-0.08169775645442133
slot_2,7,4,-0.0815576869482416
slot_1,6,7,-0.0815476779831104
slot_1,9,12,-0.08102435220930264
slot_1,7,10,-0.08083839529153877
slot_1,11,11,-0.08045851976859385
slot_2,1,9,-0.0802323058321808
slot_2,1,2,0.08018936466520112
slot_1,7,13,-0.0798524269336282
slot_1,3,9,-0.07982740794971027
slot_1,1,10,-0.0792598630949359
slot_1,3,12,-0.07921669937695378
slot_1,9,7,-0.07912057738077183
slot_2,6,9,-0.07870938154087513
slot_2,9,7,-0.0786715762909598
slot_2,12,3,-0.07782207373730969
slot_3,10,12,-0.07747917111129336
slot_2,1,0,-0.07665801594840253
slot_2,1,12,-0.07621771979826693
slot_2,6,10,-0.07565735051285451
slot_1,6,9,-0.07517209656964062
slot_3,2,8,-0.07479548610420231
slot_2,4,9,-0.07433290790830926
slot_2,9,4,-0.07425455438787386
slot_2,8,8,-0.07334470836992568
slot_2,4,11,-0.07331411063728836
slot_1,6,8,-0.07268910006798511
slot_1,4,7,-0.07268686600894696
slot_3,6,12,-0.07248872544670788
slot_3,2,0,-0.07246435503490917
slot_1,9,2,0.07220262890306642
slot_1,10,3,-0.07125150217564476
slot_2,1,11,-0.07093962814556579
slot_1,5,0,0.07087135813830356
slot_1,11,8,-0.07084850353986484
slot_3,3,8,-0.07079260954643048
slot_2,10,9,-0.07063944724175947
slot_1,7,8,-0.07035987582108384
slot_3,1,2,0.07031188284351937
slot_2,6,6,-0.07023188133883279
slot_2,3,4,-0.07022495644812353
slot_2,2,12,-0.06920209761238325
slot_2,2,4,-0.06880169368150749
slot_3,6,5,-0.06876296488672454
slot_1,8,0,0.06850000962956157
slot_1,12,13,0.06793482694943691
slot_3,1,8,-0.06780362799672879
slot_2,0,12,0.06759169526230942
slot_2,1,4,-0.06746892241783234
slot_2,10,8,-0.06705656766933007
slot_1,1,9,-0.06703264181304101
slot_2,0,13,0.06694226793795964
slot_3,8,12,-0.06682635167866112
slot_2,7,8,-0.06678496356200023
slot_3,8,5,0.06658542641007527
slot_3,5,2,-0.06639795560623318
slot_2,5,0,0.06636894964326294
slot_1,5,9,-0.06619420179999583
slot_1,9,4,-0.066146180790251
slot_1,9,9,-0.06614283361915106
slot_1,6,3,-0.06554898829913856
slot_3,3,5,0.06531951534087242
slot_2,6,8,-0.06447731316667348
slot_2,12,13,0.06380883993901328
slot_3,9,3,-0.06357838000862633
slot_2,10,0,-0.06343766198705042
slot_2,0,11,0.063187742732246
slot_1,2,6,-0.06318655537838466
slot_1,11,3,-0.0629674978533611
slot_2,9,12,-0.06279386749891747
slot_3,0,0,0.06250224764313482
slot_2,1,8,-0.06194296029103687
slot_2,8,9,-0.061902407639014945
slot_3,2,7,0.06132939637890786
slot_3,6,4,-0.06124149564595743
slot_2,2,9,-0.06119635968939773
slot_3,7,5,-0.06088785890393345
slot_3,9,12,-0.06087803573039043
slot_2,8,2,0.060601286033527164
slot_1,6,0,0.06051986946661437
slot_2,12,12,-0.06014367840819253
slot_1,4,11,-0.06014069976611468
slot_3,1,10,-0.06001901658704052
slot_3,8,0,0.05958697236827287
slot_3,0,1,0.059440364205388785
slot_1,7,9,-0.05938011461151262
slot_1,2,0,0.05920447637048342
slot_2,0,10,0.05911320456389649
slot_3,11,7,-0.058957921225392715
slot_2,0,9,0.05893678605431099
slot_2,10,5,-0.058691647068638914
slot_3,10,0,-0.05861294246886724
slot_1,2,2,0.058554246033573704
slot_3,9,10,-0.05848881463604038
slot_2,9,0,-0.058291348909466474
slot_3,10,11,-0.05823900023350655
slot_1,3,2,0.058163299883595476
slot_1,6,13,-0.05776790390600346
slot_2,9,1,0.05773201688412638
slot_1,8,9,-0.057500870134716844
slot_2,4,3,-0.05728480653680627
slot_3,5,8,-0.05702943978808173
slot_3,7,0,-0.056974231299275535
slot_1,11,4,-0.05694845177332986
slot_2,0,7,0.056900597770424895
slot_2,7,10,-0.056726946447156576
slot_1,5,7,-0.05660377791708488
slot_2,5,9,-0.056573541656503086
slot_2,0,8,0.05646394480228875
slot_1,10,10,-0.05635008715377057
slot_2,10,10,-0.05634315931881524
slot_2,8,0,0.05631833703755908
slot_2,8,1,-0.056062176299154345
slot_2,4,1,0.05589162582512781
slot_2,3,7,-0.05555359762411587
slot_1,2,13,-0.05542538513688428
slot_3,0,2,0.05539003644865226
slot_1,10,9,-0.05510287858240433
slot_3,7,4,-0.05487141200928446
slot_3,9,1,0.054466955525362695
slot_1,3,7,-0.05354692871214245
slot_2,11,13,0.05339246819068463
slot_1,7,7,-0.053368676623204374
slot_1,10,6,-0.05323201584526298
slot_1,3,1,0.05302485324334777
slot_1,11,0,0.052990133937643374
slot_3,3,0,0.05290493438959707
slot_2,1,10,-0.052861418049402586
slot_1,8,6,0.052744451367502276
slot_3,10,9,0.0525271814905392
slot_1,7,2,0.05235539883288085
slot_1,4,2,-0.05231794951260619
slot_3,0,3,0.052239102720129035
slot_2,11,10,-0.052121054145770285
slot_2,3,11,-0.05206757430841256
slot_3,6,2,-0.05176471854135863
slot_2,0,6,0.051707700229259815
slot_1,6,4,-0.05162038306967856
slot_2,5,10,-0.05112629490539786
slot_1,7,6,-0.05090061796933872
slot_1,7,0,0.05090033153308761
slot_2,2,7,-0.05081211282194319
slot_1,10,11,-0.050649081240873486
slot_2,12,11,-0.05034121800280151
slot_1,2,1,-0.05025232241717735
slot_2,8,12,-0.05002101602558041
slot_3,6,8,-0.05001930803802458
slot_3,4,5,0.049544913478900984
slot_3,8,3,-0.04861940603489569
slot_2,3,8,-0.04849338605032914
slot_2,0,5,0.048341433505296995
slot_1,8,7,-0.04830297145246451
slot_3,1,0,-0.047715175583205725
slot_3,8,11,-0.0476761978221675
slot_2,11,2,-0.04764322943933836
slot_1,12,12,-0.04702946004125991
slot_1,11,13,0.04694006357287331
slot_3,0,7,0.04685499769087329
slot_2,3,1,0.046812702021335945
slot_2,5,2,-0.046755023796484746
slot_1,3,13,-0.04634400112281749
slot_3,0,4,0.04609375613104839
slot_1,1,8,-0.046014862608945176
slot_3,9,2,-0.04594237647427317
slot_1,1,13,-0.04589249527748487
slot_3,5,0,0.045840069276655696
slot_1,7,12,-0.045807513059822835
slot_3,6,3,-0.04557507240901507
slot_2,2,2,0.045115481321347656
slot_1,8,12,-0.04504624630058109
slot_3,7,6,-0.044955059442832325
slot_2,2,11,-0.04477943400312352
slot_1,2,5,-0.044656695671670875
slot_3,7,12,-0.04449486644946046
slot_2,11,9,-0.044485757048259494
slot_3,2,10,-0.04447281423687075
slot_3,0,6,0.04444300681422569
slot_3,0,8,0.044253547781709
slot_3,12,1,-0.044126619190699684
slot_1,7,1,-0.04409543433136868
slot_1,4,9,-0.04391388448413785
slot_2,5,6,-0.04390762669279394
slot_2,0,4,0.04376543580329757
slot_3,5,4,-0.04369322522698579
slot_2,12,4,0.04352133450144659
slot_1,11,7,-0.043495637493481135
slot_1,2,11,-0.04344838500388605
slot_3,11,8,-0.043327337006005086
slot_3,1,6,-0.04330196725455773
slot_3,4,6,0.04330185208573241
slot_2,4,4,-0.04319449168269602
slot_3,10,1,0.04318819336618012
slot_1,5,4,0.04309879273664584
slot_3,5,11,-0.04300899024384712
slot_1,5,13,-0.042969595657896945
slot_1,0,0,0.04288170477933786
slot_2,4,6,-0.04285212995104048
slot_3,0,5,0.04281572528616273
slot_3,3,6,0.04263600764732155
slot_3,6,7,-0.04239523950212797
slot_2,7,11,-0.042161754134342276
slot_3,11,13,0.041941021216294797
slot_1,4,0,0.041842525169429164
slot_1,2,9,-0.041698451496929335
slot_1,5,1,-0.041643424874337504
slot_1,4,10,-0.0407599325814328
slot_1,0,1,0.04074359502027429
slot_3,11,6,-0.04068121848069916
slot_3,2,9,-0.04066375136177312
slot_1,4,3,-0.040632086892947006
slot_1,9,5,-0.040626230630122974
slot_2,11,1,0.04060469605772347
slot_1,11,5,-0.04056999583390734
slot_1,3,10,-0.04043692694831169
slot_3,0,9,0.04000610673917165
slot_1,10,1,0.03973816414898288
slot_2,8,4,-0.03955094510696173
slot_2,2,8,-0.03953849781508235
slot_2,9,10,-0.03947916202481306
slot_3,3,9,-0.03940425084956991
slot_1,0,2,0.0393273181985819
slot_1,0,3,0.03930673750268339
slot_1,6,5,-0.03926713890273816
slot_2,7,2,0.03896589820043016
slot_3,3,11,-0.03887506393733963
slot_1,11,6,-0.03862483151175197
slot_3,11,12,-0.03861411651517595
slot_3,5,7,0.0385652970954796
slot_1,0,4,0.038433891684628074
slot_2,7,9,-0.03824900587032197
slot_3,10,10,0.0379152349779316
slot_2,1,1,0.03788548016572492
slot_3,9,0,-0.03769969356691466
slot_2,0,3,0.03756167069863526
slot_2,12,9,0.03750052895402289
slot_1,10,4,-0.03749480620905099
slot_2,12,0,0.03749002108437203
slot_1,12,11,-0.03741813944690806
slot_3,4,9,-0.03740530958540439
slot_3,6,13,0.037323435386444836
slot_1,4,13,-0.03715524633984516
slot_2,12,8,0.03706943210643468
slot_3,1,9,-0.03689509284871554
slot_3,8,2,0.03687883315023346
slot_3,8,13,0.03623966642732581
slot_1,8,10,-0.036217308256474394
slot_3,1,7,0.03606401086889288
slot_3,2,4,-0.03591220265149571
slot_3,12,2,-0.035751522118088123
slot_3,9,13,0.03563380546889855
slot_3,0,10,0.0356243838861864
slot_3,7,13,0.03537003712570036
slot_1,0,12,0.03529494909676763
slot_2,1,6,-0.03516017242817376
slot_3,10,13,0.03510464718658038
slot_2,3,2,0.03502437924988418
slot_3,8,1,-0.03469906355846242
slot_3,2,3,0.03462781008435042
slot_3,3,1,0.03435490677736173
slot_3,10,8,-0.034183389783925065
slot_2,4,7,-0.03400929987517834
slot_3,1,3,0.03382631460733613
slot_3,1,5,-0.03365895302770436
slot_3,0,11,0.03341291280841628
slot_1,0,5,0.033382327888183384
slot_1,12,7,-0.033377757389543364
slot_1,12,5,-0.03326658205494414
slot_1,12,8,-0.033198601651794286
slot_3,7,3,-0.03315764920628723
slot_1,9,11,-0.03300420916336705
slot_1,12,10,-0.03283799338670937
slot_3,9,7,-0.032733916927120806
slot_1,12,6,-0.032554031196132364
slot_2,8,10,-0.03242155108545909
slot_3,7,7,-0.03223733426524162
slot_1,0,13,0.03219767703804812
slot_3,4,11,-0.03206020849785852
slot_1,5,3,-0.03190928102338997
slot_1,2,8,-0.03163354135270352
slot_3,0,12,0.031572608608348526
slot_3,4,4,-0.0313929077675868
slot_1,3,6,-0.031321181401781244
slot_1,4,6,-0.031268449772754996
slot_2,5,8,-0.031050930583150622
slot_1,5,2,-0.031017066926228787
slot_2,3,0,0.030944046639401965
slot_1,0,6,0.030433711976875697
slot_1,1,4,0.030388969189714253
slot_3,0,13,0.030326872040037856
slot_3,3,7,0.03024105771780272
slot_1,12,9,-0.02989551123387417
slot_3,4,7,0.029663312630730927
slot_3,1,13,0.029314310140786712
slot_3,9,5,0.02903730312928488
slot_3,4,13,0.02886217005908055
slot_3,12,3,-0.028781750620308376
slot_3,3,13,0.028624846246921052
slot_1,1,7,0.02842738788849324
slot_1,0,11,0.02840610546595642
slot_3,7,9,0.028351039539693614
slot_1,1,2,0.028336839472291764
slot_2,11,12,-0.02800206610471928
slot_1,5,6,-0.027921379759350332
slot_3,5,13,0.027800388819642127
slot_1,2,10,-0.027773618240366976
slot_3,7,2,0.027622334607801627
slot_3,2,13,0.027541669563531473
slot_3,10,4,-0.02750894260598415
slot_2,2,1,-0.027479500004258996
slot_3,6,9,-0.027286892869112678
slot_3,11,10,-0.027126250399939763
slot_2,0,0,0.026809819080273672
slot_2,0,2,0.026558548501860575
slot_3,2,2,0.026450344771232176
slot_3,4,10,-0.026246366246657046
slot_3,3,10,-0.02601843737408443
slot_2,4,8,-0.026012130061965812
slot_1,3,0,0.02585924648816677
slot_1,7,5,-0.02585092288632337
slot_1,0,10,0.025480625004368398
slot_1,9,10,-0.02523951398371017
slot_3,9,11,-0.025127984431524895
slot_1,0,9,0.02419909559022378
slot_3,5,10,-0.02417195896160615
slot_2,6,0,0.024058418216571082
slot_1,3,8,-0.023961710082635666
slot_3,7,10,-0.023788640140532245
slot_1,3,3,-0.023663850977743966
slot_2,7,5,-0.02346573896304567
slot_3,11,1,0.023455925915794432
slot_1,0,8,0.023295196712051876
slot_1,0,7,0.023276959808028404
slot_2,11,0,-0.02320487414802407
slot_3,12,4,-0.023155890746378034
slot_1,1,6,0.02250603151533114
slot_2,5,4,0.02236389348723631
slot_3,8,10,-0.022287493490832203
slot_2,2,10,-0.02158537487550778
slot_2,9,2,0.021570001709924135
slot_2,4,0,-0.021562960887160535
slot_2,0,1,0.02150807571251573
slot_2,11,8,0.02135401517709035
slot_3,5,6,-0.02085773276115675
slot_2,8,6,0.020328203993161657
slot_2,7,1,-0.02032207124705018
slot_2,4,5,-0.02030151745580545
slot_1,5,5,0.02024797423385535
slot_3,8,7,-0.020233345756595474
slot_3,6,10,-0.02019560951394739
slot_2,9,6,-0.019757784981788082
slot_3,4,3,0.019042945811221897
slot_2,9,5,-0.018414116148181253
slot_1,8,5,0.018171199548307412
slot_1,11,2,0.018006551343403385
slot_1,8,11,-0.017708078473245167
slot_1,3,5,-0.017562713318090208
slot_3,1,1,-0.017443557667489423
slot_1,10,0,-0.01742916511861459
slot_2,5,5,-0.017312809031618446
slot_2,5,1,-0.01728278026205564
slot_1,11,1,0.016876503364273827
slot_2,4,13,0.016784776285064643
slot_2,8,5,0.016777857346546972
slot_1,2,7,-0.016603095387594014
slot_1,4,4,0.01657078936185229
slot_3,2,1,0.016408610463298293
slot_1,4,8,-0.01638042287367479
slot_2,6,1,0.0162322551123435
slot_3,7,8,-0.01595576868577388
slot_1,9,0,-0.01592157414339694
slot_2,2,6,0.01571519759724476
slot_3,5,9,-0.015485032872072323
slot_3,9,8,-0.014425234825233212
slot_2,9,13,0.014381656883199298
slot_1,2,3,-0.014163152363060308
slot_2,12,2,-0.014105156173632562
slot_1,9,6,0.01409270969896071
slot_2,8,11,-0.013499011474242262
slot_2,1,5,0.013488842272979418
slot_2,5,7,-0.013247458202468854
slot_3,6,1,0.013086341885935679
slot_2,1,13,0.012862111157136789
slot_3,11,2,0.012849729387625457
slot_2,3,13,0.012764915444412274
slot_2,5,13,0.012631874640777193
slot_2,7,6,-0.012405416518955572
slot_3,9,6,0.01232286217840918
slot_3,8,4,0.01228243021848686
slot_2,7,13,0.012153896783436374
slot_3,3,3,0.012049513881120336
slot_1,5,8,-0.011686775603730154
slot_3,10,5,0.011256810083445984
slot_2,2,0,-0.011021445254184062
slot_1,10,5,0.010949318705484979
slot_2,12,10,0.010912823353001136
slot_2,10,13,0.010881272188532855
slot_1,9,1,-0.010541048740513112
slot_2,8,13,0.010461759277791385
slot_3,3,4,-0.01033352285698213
slot_3,2,5,0.010320703929671708
slot_2,6,13,0.009958082110409617
slot_3,9,4,-0.009825762102895581
slot_3,1,4,-0.009783965188076086
slot_2,5,3,0.009509700881213324
slot_2,6,2,0.008950967931452898
slot_2,2,13,0.008659905135573144
slot_1,12,4,-0.008371724958637918
slot_3,8,9,0.007730429857763631
slot_1,6,1,-0.007475673547311584
slot_3,11,9,-0.007467271444399332
slot_1,4,5,0.0072782942363556185
slot_2,2,5,-0.007043896318647573
slot_2,12,6,0.006954422600300353
slot_1,2,4,0.0067617672844340945
slot_2,4,10,-0.006743908309681174
slot_2,3,5,0.006668616010099015
slot_2,3,6,0.006494981310146044
slot_1,1,5,-0.006207014066917321
slot_1,6,2,0.00596308337353789
slot_1,1,3,-0.005797469266921638
slot_3,9,9,-0.00565379657863068
slot_2,3,10,-0.00540475178783715
slot_3,5,5,0.005142542908629011
slot_1,3,4,-0.005068574370049622
slot_3,2,6,-0.00489769020652638
slot_3,5,3,-0.004650470514137492
slot_3,8,8,0.004642311497783102
slot_1,12,0,-0.004342483302686888
slot_1,12,3,-0.004166153575373292
slot_3,12,6,0.004130785152236199
slot_3,12,13,-0.003915877559065004
slot_3,12,7,0.003786533429277091
slot_3,3,2,-0.0034708341037320853
slot_1,12,2,-0.00341990345703247
slot_3,12,8,0.0029379578587925372
slot_3,5,1,0.002872340042024007
slot_1,12,1,-0.002092921072556279
slot_3,12,12,-0.0019443633810533939
slot_2,12,5,0.0018583572273145488
slot_3,6,0,-0.0016354565078699765
slot_3,12,9,0.001581308601211086
slot_1,4,1,-0.0013235575932370141
slot_2,12,1,-0.0009574418336096047
slot_3,12,11,-0.0008234763315301575
slot_3,7,1,-0.0007877004899758206
slot_3,11,11,-0.0006907215353604484
slot_2,7,0,0.00047137318432218536
slot_3,12,5,-0.0004027226617866817
slot_3,12,10,0.00037672898966535813
slot_2,9,11,0.0002624970127697474
slot_3,8,6,0.000246394324602834
